2023/10/31-12:35:13 => load config ip = 192.168.11.6, 192.168.0.10, 192.168.0.20, 192.168.0.30
2023/10/31-12:35:14 => 刚启动，先读取使能状态
2023/10/31-12:35:14 => get connected cmd
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[2] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[3] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[4] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[5] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[6] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[7] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[8] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[9] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[10] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[11] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[12] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[13] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[14] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[15] , PORT[11]
2023/10/31-12:35:17 => sent:0B 03 00 00 00 01 84 A0   to COM[16] , PORT[11]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[1] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[2] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[3] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[4] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[5] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[6] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[7] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[8] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[9] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[10] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[11] , PORT[12]
